contract_address,token_id,from_address,to_address,amount,type,tx_hash,block_number,ts,tx_index,log_id,internal_tx_index,batch_transfer,value
79355127,16701813,0x2e9d21cd396eead958f339e152ec28a53c5477b1cefac948ab50cce27eeb76b1,0x231d3559aa848bf10366fb9868590f01d34bf240,721,0x0000000000000000000000000000000000000000000000000000000000000c95,1,0xf022fa4fba5507904ccf8b00839a3f0f1fa08f82,0xefc0f62b3037ae4fb57ef7d3adb5a79baaba2b5e,0x0000000000000000000000000000000000000000,1350000000000000000,seaport,2023-02-25 00:43:11,2162.411987847594
79355128,16701813,0x661a37f159c18455127bfe37ad97cc3054f38a4075dac355dde8cf202a5e3b18,0x0be697ce3f41508510ccf502c55c37990274f05e,721,0x00000000000000000000000000000000000000000000000000000000000000f9,1,0x4fab7fede39476b020d2d40d81976a29ae2d2f55,0x97b76919c623a0c546a016b968fc504bfff79536,0x0000000000000000000000000000000000000000,110000000000000000,seaport,2023-02-25 00:43:11,176.19653234313728
79355129,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x00000000000000000000000000000000000000000000000000000000000009c0,1,0x7c04d512359d5bfd02b887cb9c0963bbe858a09b,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,38900000000000000,seaport,2023-02-25 00:43:11,62.309500983164
79355130,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000001a34,1,0x2654cf07799d2e61c225279e08ba2612e5cc59eb,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,38989000000000000,seaport,2023-02-25 00:43:11,62.45205999569618
79355131,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x00000000000000000000000000000000000000000000000000000000000018b4,1,0x7c04d512359d5bfd02b887cb9c0963bbe858a09b,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,39000000000000000,seaport,2023-02-25 00:43:11,62.469679648930494
79355132,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000000ca8,1,0xd3e2a3fe7097512481c37cd823ae3c219ac3be6f,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,39100000000000000,seaport,2023-02-25 00:43:11,62.62985831469698
79355133,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000000f61,1,0xd3e2a3fe7097512481c37cd823ae3c219ac3be6f,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,39100000000000000,seaport,2023-02-25 00:43:11,62.62985831469698
79355134,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000000f7f,1,0xd3e2a3fe7097512481c37cd823ae3c219ac3be6f,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,39100000000000000,seaport,2023-02-25 00:43:11,62.62985831469698
79355135,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x00000000000000000000000000000000000000000000000000000000000019bd,1,0x2f814b15cfce236196422296320c6249c67fb05a,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,39900000000000000,seaport,2023-02-25 00:43:11,63.91128764082888
79355136,16701813,0x7431183f79a0fa8177c58704043fc34822e54697b46763414ecca20750322ee4,0xc0f6cc4b7e67f0518851068601c9f7c4ef18b201,721,0x0000000000000000000000000000000000000000000000000000000000000631,1,0x7c04d512359d5bfd02b887cb9c0963bbe858a09b,0x1d2ac524c558cbe6601d7f0073acb5a7ba33fa8a,0x0000000000000000000000000000000000000000,40000000000000000,seaport,2023-02-25 00:43:11,64.07146630659538
